company,vertical,city,state,website,linkedin,founder_or_partner,estimated_team_size,signs_of_relationship_sales,likely_crm_usage,visible_followup_gap,recent_signal,outreach_priority,personalization_angle,sample_brief_status,notes
K. Jacobs Executive Search,Architecture engineering and construction recruiting,Merrimack,NH,https://www.kjacobs.com,https://www.linkedin.com/company/k-jacobs-executive-search,Oleg Goltsov,2-6,Low-volume relationship-based recruiting for AEC firms,Likely light ATS plus LinkedIn Recruiter and founder email history,Small low-volume model depends on remembering candidate motivations and prior client conversations,Public site emphasizes culture fit aspirations and long-term placement alignment,High,Reference AEC candidate motivation notes and founder-led long-term fit,Not started,Strong ethical fit because sample can stress human review and no automation
The ELTA Group,Construction and residential development recruiting,Indianapolis,IN,https://eltagrouprecruiters.com,https://www.linkedin.com/company/the-elta-group,Wendy Lawrence,3-8,Relationship-driven construction recruiting for high-level placements and residential development roles,Likely ATS plus LinkedIn Recruiter and founder-managed relationship notes,Public no-pressure relational positioning suggests missed follow-up is a credible operational pain,Public founder page emphasizes relational communication and construction recruiting,High,Use residential development leadership follow-up and no-pressure relationship style,Angle drafted,Sample should be a labeled hypothetical around paused construction leadership search
J. Connell Construction Recruiting,Texas construction recruiting,San Antonio,TX,https://jconnellrecruiting.com,https://www.linkedin.com/company/j-connell-construction-recruiting,Janet Connell,3-8,Texas construction recruiting with founder reputation and long regional network,Likely ATS plus LinkedIn Recruiter and founder relationship notes,Construction candidate and client timing can shift with projects and markets leaving warm leads dormant,Public site emphasizes Texas construction recruiting across organizational levels,Medium,Lead with local Texas construction network and dormant superintendent or estimator relationships,Not started,Use only public market category and hypothetical timing
SMR Legal Search,Legal and compliance recruiting,Philadelphia,PA,https://smrlegalsearch.wordpress.com,https://www.linkedin.com/in/smrlegalsearch,Susan Rubinovitz,2-6,Attorney-led legal recruiting for law firms in-house counsel compliance and partner moves,Likely legal recruiting CRM plus LinkedIn and attorney network notes,Legal lateral and in-house conversations are timing-sensitive and can go quiet for months,Public profile emphasizes former practicing attorney and regional legal-market focus,Medium,Reference attorney-led recruiting and dormant lateral partner conversations,Not started,LinkedIn is individual profile; verify company page before outreach
RMB Legal Search,Legal recruitment and career coaching,Washington,DC,https://www.rmblegalsearch.com,https://www.linkedin.com/in/rachel-boufford,Rachel Boufford,1-4,Boutique legal recruitment and lawyer career-transition support,Likely light ATS plus LinkedIn Recruiter and founder coaching notes,Small founder-led legal search practice likely juggles candidates who return when timing changes,Public site emphasizes all seniority levels and career-advising background,Medium,Lead with in-house transition candidates and warm law-firm follow-up,Not started,Keep sample small and respectful because practice may be solo
Saltu Legal,AmLaw and attorney recruiting,Dallas,TX,https://saltulegal.com,https://www.linkedin.com/company/saltu-legal,Key Hemyari,6-12,Attorney-led legal talent matchmaking for law-firm placements and specialist practice areas,Likely mature legal recruiting CRM plus LinkedIn Recruiter and relationship history,Legal recruiting involves many dormant attorney conversations that revive around bonus cycles or practice changes,Public site highlights attorney matchmakers and former BigLaw context,Medium,Use attorney-led specialization and timing around lateral associate conversations,Needs founder review,Do not cite public placement counts as Meridian evidence
Hansen Recruiting,Creative digital and marketing recruiting,Springtown,TX,https://hansenrecruiting.com,https://www.linkedin.com/company/hansen-recruiting,Marissa Hansen,8-12,Boutique recruiting for creative digital marketing DTC brands agencies and startups,Likely ATS plus LinkedIn Recruiter and candidate marketing portfolio notes,Agency and DTC hiring cycles leave many promising candidates and clients dormant after paused roles,Public site emphasizes completion rate repeat clients and fast candidate slates,Medium,Lead with DTC marketing hiring-manager reactivation and candidate portfolio follow-up,Public scan complete,Frame sample as one possible manual view not a performance promise
The Connective Good,B2B SaaS marketing executive search,Cambridge,MA,https://theconnectivegood.com,https://www.linkedin.com/company/the-connective-good,Erica Seidel,1-3,Retained boutique search focused on CMOs and VPs of Marketing in B2B SaaS,Likely light executive-search CRM plus founder-maintained SaaS marketing network,Small capped-search model creates a natural need to remember past high-fit CMO candidates,Public site emphasizes limited concurrent searches and marketing leadership focus,Medium,Reference B2B SaaS CMO timing and dormant marketing-leader shortlists,Angle drafted,Good sample should be concise and founder-reviewed because practice is intentionally selective
Healthcare Recruitment Link,Healthcare executive physician and allied health recruiting,St Peters,MO,https://healthrecruitlink.com,https://www.linkedin.com/company/healthcare-recruitment-link,Heidi Johnson,2-5,Women-owned healthcare recruitment firm with executive physician faculty and allied health searches,Likely healthcare recruiting ATS plus LinkedIn Recruiter and referral notes,Healthcare searches often have long cycles where candidates or facilities go quiet then resurface,Public site emphasizes customized recruitment solutions and prompt communication,Medium,Lead with dormant physician or faculty candidate reactivation after a paused search,Not started,Do not imply patient or facility operational data
Finer Recruiting,Financial markets executive search,New York,NY,https://www.finerrecruiting.com,https://www.linkedin.com/company/finer-recruiting-llc,Brett Finer,8-12,Financial recruiting for hedge funds private equity private credit asset management and banks,Likely executive-search CRM plus LinkedIn Recruiter and finance network notes,Buy-side and sell-side searches are timing-sensitive and relationship-heavy with dormant candidate pipelines,Public site emphasizes founder buy-side and sell-side market experience,High,Lead with dormant buy-side candidate relationships and market-timing follow-up,Public scan complete,Keep sample hypothetical and never imply fund hiring knowledge
Celine Recruiting,Financial services recruiting,New York,NY,https://www.celinerecruiting.com,https://www.linkedin.com/company/celine-recruiting,Arielle Kogut,1-5,Financial services recruiting for private equity venture capital hedge funds and investment banks,Likely light ATS plus LinkedIn Recruiter and founder finance-network notes,Small finance recruiting practice likely has valuable candidate follow-ups spread across email and LinkedIn,Public site emphasizes finance background and specialized placements,Medium,Reference founder finance background and dormant analyst-to-associate candidate conversations,Not started,Verify LinkedIn company page before outreach if used manually
ON Data Staffing,Data analytics staffing,New York,NY,https://ondatastaffing.com,https://www.linkedin.com/company/on-data-staffing,Oliver Noel,2-6,Niche staffing firm focused on data analytics teams across North America and the UK,Likely ATS plus LinkedIn Recruiter and talent-pipeline spreadsheets,Data-team hiring needs can pause after projects or budget cycles leaving skilled candidates dormant,Public site emphasizes analytics staffing and niche team building,Medium,Lead with dormant analytics candidate pools and consultancy partner follow-up,Not started,Use public service categories only; no claims about client analytics stacks
Elray Search,Defense electronics and aerospace executive search,Remote,US,https://elraysearch.com,https://www.linkedin.com/company/elray-search,Katherine Jerald,1-4,Niche recruiting for defense electronics aerospace and senior leadership roles,Likely light ATS plus LinkedIn Recruiter and founder-maintained candidate notes,Defense and aerospace searches are specialized and long-cycle making follow-up timing easy to miss,Public team profile emphasizes defense electronics and aerospace focus,Medium,Reference niche aerospace-defense leadership timing and dormant senior candidate relationships,Not started,Avoid implying clearance or contract knowledge
Monzingo Legal Recruiting,Legal recruiting,Fort Myers,FL,https://monzingolegal.com,https://www.linkedin.com/company/monzingo-legal-recruiting,Mary Beth Monzingo,2-6,Boutique legal recruiting with legal administration HR and operations background,Likely light legal recruiting CRM plus LinkedIn and referral notes,Regional legal recruiting creates warm law-firm and candidate relationships that can drift without a next step,Public site emphasizes legal industry experience across boutique and AmLaw environments,Low,Lead with legal-operations empathy and a restrained sample brief offer,Not started,Lower priority because public signals look less urgent for relationship recovery
